C:\Users\User\AppData\Local\Microsoft\Windows\WebCache\,taskhost
C:\Windows\System32\wshqos.dll,ccsetup574
C:\ProgramData\Microsoft\Windows Defender\Scans\mpcache-A5214564919BC45C1D214D9C6B9F7ED042CF5320.bin.80,svchost
C:\ProgramData\Microsoft\Windows Defender\Scans\mpcache-A5214564919BC45C1D214D9C6B9F7ED042CF5320.bin.87,svchost
C:\ProgramData\Microsoft\Windows Defender\Scans\FailTelemetry\,svchost
C:\Windows\TEMP\,svchost
C:\Windows\TEMP\TMP8511A4C409E9D162,svchost
C:\ProgramData\Microsoft\Windows Defender\Scans\History\Store\923AE3E9811B40C04F4D29677F9DF96F,svchost
C:\Users\User\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\container.dat,taskhost
C:\Users\User\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\ZMRJCI6P,ccsetup574
C:\Users\User\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\ZMRJCI6P\installcheck[1].htm,ccsetup574
C:\Users\User\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\ZMRJCI6P\installcheck[2].htm,ccsetup574
C:\Users\User\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\ZMRJCI6P\installcheck[3].htm,ccsetup574
C:\Users\User\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\ZMRJCI6P\installcheck[4].htm,ccsetup574
C:\Users\User\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\ZMRJCI6P\installcheck[5].htm,ccsetup574
C:\Users\User\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\ZMRJCI6P\installcheck[6].htm,ccsetup574
C:\Users\User\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\ZMRJCI6P\installcheck[7].htm,ccsetup574
C:\Users\User\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\ZMRJCI6P\installcheck[8].htm,ccsetup574
