base64_data,cf:id,node_type,prov:type
cf:AAAACAAAACDz8QAAAAAAAAEAAADE+3Y2AAAAAAAAAAA=,61939,Entity,process_memory
cf:AAEAAAAAACAA8QAAAAAAAAEAAADE+3Y2AAAAAAAAAAA=,61696,Entity,file
cf:AAAACAAAACDV8QAAAAAAAAEAAADE+3Y2AQAAAAAAAAA=,61909,Entity,process_memory
cf:AAAIAAAAACBf8wAAAAAAAAEAAADE+3Y2AAAAAAAAAAA=,62303,Entity,path
cf:AAEAAAAAACDt8QAAAAAAAAEAAADE+3Y2AAAAAAAAAAA=,61933,Entity,file
cf:AAAACAAAACD18QAAAAAAAAEAAADE+3Y2AAAAAAAAAAA=,61941,Entity,process_memory
cf:AAAIAAAAACBe8wAAAAAAAAEAAADE+3Y2AAAAAAAAAAA=,62302,Entity,path
cf:AAAIAAAAACBQ8wAAAAAAAAEAAADE+3Y2AAAAAAAAAAA=,62288,Entity,path
cf:AAAIAAAAACBZ8wAAAAAAAAEAAADE+3Y2AAAAAAAAAAA=,62297,Entity,path
cf:AAAACAAAACDV8QAAAAAAAAEAAADE+3Y2AAAAAAAAAAA=,61909,Entity,process_memory
cf:AAAIAAAAACBV8wAAAAAAAAEAAADE+3Y2AAAAAAAAAAA=,62293,Entity,path
cf:AAAACAAAACDv8QAAAAAAAAEAAADE+3Y2AAAAAAAAAAA=,61935,Entity,process_memory
cf:AAAACAAAACDV8QAAAAAAAAEAAADE+3Y2AwAAAAAAAAA=,61909,Entity,process_memory
cf:AAAIAAAAACBU8wAAAAAAAAEAAADE+3Y2AAAAAAAAAAA=,62292,Entity,path
cf:AAAACAAAACDV8QAAAAAAAAEAAADE+3Y2AgAAAAAAAAA=,61909,Entity,process_memory
cf:AQAAAAAAAED48QAAAAAAAAEAAADE+3Y2AAAAAAAAAAA=,61944,Activity,task
cf:AQAAAAAAAEDUxgAAAAAAAAEAAADE+3Y2AQAAAAAAAAA=,50900,Activity,task
cf:AQAAAAAAAEDUxgAAAAAAAAEAAADE+3Y2AgAAAAAAAAA=,50900,Activity,task
cf:AQAAAAAAAEDi8QAAAAAAAAEAAADE+3Y2AQAAAAAAAAA=,61922,Activity,task
cf:AQAAAAAAAED48QAAAAAAAAEAAADE+3Y2AQAAAAAAAAA=,61944,Activity,task
cf:AQAAAAAAAEDUxgAAAAAAAAEAAADE+3Y2AAAAAAAAAAA=,50900,Activity,task
cf:AQAAAAAAAED48QAAAAAAAAEAAADE+3Y2AgAAAAAAAAA=,61944,Activity,task
